Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
United States,petroleum_n_other_liquids,2016,37.194180808,23.187219811,18509.63,324117.8,300.3949205720883,5.260145166975245,2301.293482
United States,nuclear,2016,8.426753002,8.426753002,18509.63,324117.8,300.3949205720883,5.260145166975245,0.0
United States,renewables_n_other,2016,10.390662036,10.45936578,18509.63,324117.8,300.3949205720883,5.260145166975245,0.0
United States,all_energy_types,2017,97.633739402,88.102915227,18927.11,326379.8,299.14148915465967,5.158407142030664,5169.496984
United States,coal,2017,13.837465264,15.625377047,18927.11,326379.8,299.14148915465967,5.158407142030664,1355.200263
United States,natural_gas,2017,28.055092568,28.289335056,18927.11,326379.8,299.14148915465967,5.158407142030664,1489.851251
United States,petroleum_n_other_liquids,2017,37.522870556,24.532608642,18927.11,326379.8,299.14148915465967,5.158407142030664,2324.44547
United States,nuclear,2017,8.418968232,8.418968232,18927.11,326379.8,299.14148915465967,5.158407142030664,0.0
United States,renewables_n_other,2017,11.115511517,11.23662625,18927.11,326379.8,299.14148915465967,5.158407142030664,0.0
United States,all_energy_types,2018,101.203412763,95.748508172,19479.58,328317.2,308.2488908988015,5.195359076684405,5131.08098
United States,coal,2018,13.251532387,15.363442028,19479.58,328317.2,308.2488908988015,5.195359076684405,1317.951988
United States,natural_gas,2018,31.1534215,31.88214802,19479.58,328317.2,308.2488908988015,5.195359076684405,1470.964449
United States,petroleum_n_other_liquids,2018,38.354616819,28.512675062,19479.58,328317.2,308.2488908988015,5.195359076684405,2342.164543
United States,nuclear,2018,8.438068207,8.438068207,19479.58,328317.2,308.2488908988015,5.195359076684405,0.0
United States,renewables_n_other,2018,11.342540966,11.552174855,19479.58,328317.2,308.2488908988015,5.195359076684405,0.0
United States,all_energy_types,2019,100.434067942,101.400918072,19925.43,330043.8,304.3052708216304,5.040496889753446,5277.192754
United States,coal,2019,11.315594693,14.255763025,19925.43,330043.8,304.3052708216304,5.040496889753446,1262.555409
United States,natural_gas,2019,32.252006995,35.187183375,19925.43,330043.8,304.3052708216304,5.040496889753446,1626.410978
United States,petroleum_n_other_liquids,2019,38.329385876,31.910981733,19925.43,330043.8,304.3052708216304,5.040496889753446,2388.226367
United States,nuclear,2019,8.451851513,8.451851513,19925.43,330043.8,304.3052708216304,5.040496889753446,0.0
United States,renewables_n_other,2019,11.436136015,11.595138426,19925.43,330043.8,304.3052708216304,5.040496889753446,0.0
